"date","year","month","ENSO"
1951-01-01,1951,1,2.00780012291644
1951-02-01,1951,2,1.12328858413354
1951-03-01,1951,3,-0.317528739119427
1951-04-01,1951,4,-0.805766889926389
1951-05-01,1951,5,-1.14221842699834
1951-06-01,1951,6,-0.655555892975715
1951-07-01,1951,7,-1.53460518373072
1951-08-01,1951,8,-0.330869071068998
1951-09-01,1951,9,-0.747888354644188
1951-10-01,1951,10,-0.674726171790633
1951-11-01,1951,11,-0.653980276191381
1951-12-01,1951,12,-0.467372037232653
1952-01-01,1952,1,-0.579242476553492
1952-02-01,1952,2,-0.230290826641405
1952-03-01,1952,3,0.752015421837867
1952-04-01,1952,4,-0.537015287680091
1952-05-01,1952,5,0.173020426146766
1952-06-01,1952,6,0.349439566724591
1952-07-01,1952,7,0.204690817801816
1952-08-01,1952,8,-0.14426083211027
1952-09-01,1952,9,0.194134020583466
1952-10-01,1952,10,0.598653191318524
1952-11-01,1952,11,-0.158704260572185
1952-12-01,1952,12,-1.16175640465071
1953-01-01,1953,1,0.886207373542292
1953-02-01,1953,2,-0.055815001685362
1953-03-01,1953,3,-0.155185328166068
1953-04-01,1953,4,-0.338274634718679
1953-05-01,1953,5,-2.09637321622868
1953-06-01,1953,6,-0.425144848359253
1953-07-01,1953,7,-0.172044592521756
1953-08-01,1953,8,-1.53812411613683
1953-09-01,1953,9,-0.782709979867907
1953-10-01,1953,10,0.415563884765913
1953-11-01,1953,11,-0.0957311760995322
1953-12-01,1953,12,-0.326142220715995
1954-01-01,1954,1,0.88426405792051
1954-02-01,1954,2,0.202379803342586
1954-03-01,1954,3,0.293136648226724
1954-04-01,1954,4,-0.0941555593151977
1954-05-01,1954,5,-0.195101502580238
1954-06-01,1954,6,-0.470523270801322
1954-07-01,1954,7,-0.0605418520383654
1954-08-01,1954,8,0.900650802004206
1954-09-01,1954,9,0.600596506940306
1954-10-01,1954,10,0.651069478572826
1954-11-01,1954,11,0.35259080029326
1954-12-01,1954,12,1.50548624248501
1955-01-01,1955,1,0.235625811781971
